booked_today_list,delivery,expensive,genre,location,num_reviews_list,rating_list,rest_name
,Delivery,  $    $    $    $  ,Nordic,Midtown East,(7),4.5 stars out of 5,Aquavit - Bar
,Delivery,  $    $    $    ,Italian,Little Italy,(26),4.5 stars out of 5,Zia Maria Little Italy
,Delivery,  $    $    $    ,French,SoHo,(77),4.4 stars out of 5,Troquet
,Delivery,  $    $    $    ,French,TriBeCa - Downtown,(94),4.5 stars out of 5,Yves
,Delivery,  $    $      ,Vietnamese,NoLita,(129),4.4 stars out of 5,BoCaphe
,Delivery,  $    $    $    ,Latin American,Upper East Side,(84),4.7 stars out of 5,Dulce Vida Latin Bistro
,Delivery,  $    $      ,Seafood,Battery Park,(102),4.3 stars out of 5,Miramar
,Delivery,  $    $      ,French,Upper West Side,(280),4.1 stars out of 5,Le Monde
,Delivery,  $    $      ,Afghan,Upper East Side,(91),4.6 stars out of 5,Afghan Kebab House
,Delivery,  $    $    $    ,Italian,Financial District,(462),4.6 stars out of 5,Da Claudio Ristorante
,Delivery,  $    $    $    ,Steak,TriBeCa - Downtown,(581),4.5 stars out of 5,CUT By Wolfgang Puck at FS Downtown New York
,Delivery,  $    $      ,Italian,Little Italy,(192),4.7 stars out of 5,La Bella Vita
,Delivery,  $    $      ,Italian,Upper West Side,(107),4.7 stars out of 5,Ortomare Ristorante Pizzeria
,Delivery,  $    $    $    ,Italian,Upper East Side,(34),4.5 stars out of 5,Vicolina
,Delivery,  $    $    $    $  ,Italian,Upper East Side,(338),4.8 stars out of 5,Sandro's Restaurant
,Delivery,  $    $    $    ,Italian,Upper East Side,(47),4.3 stars out of 5,Mimmo Cucina Italiana
,Delivery,  $    $      ,Italian,Upper West Side,(129),4.5 stars out of 5,Serafina 105
,Delivery,  $    $      ,Chinese,Chinatown,(17),4.3 stars out of 5,Buddha Bodai Kosher Vegetarian Restaurant
,Delivery,  $    $      ,American,Financial District,(102),4.6 stars out of 5,Westville Wall Street
,Delivery,  $    $      ,Japanese,Financial District,(618),4.2 stars out of 5,Haru Sushi - Wall Street
,Delivery,  $    $      ,Mexican,East Harlem,(2),5 stars out of 5,Bistro Casa Azul
,Delivery,  $    $      ,American,Financial District,(41),4.5 stars out of 5,The Porterhouse Brewing Company Bar + The Lovelace Cocktail & Gin Bar
,Delivery,  $    $    $    ,Italian,Financial District,(693),4.7 stars out of 5,Felice 15 Gold Street
,Delivery,  $    $    $    ,Italian,Harlem,(2),5 stars out of 5,Osteria Laura NYC
,Delivery,  $    $      ,Cuban,Harlem,(398),4.5 stars out of 5,Amor Cubano
,Delivery,  $    $    $    ,Italian,Financial District,(230),4.5 stars out of 5,Giardino D'Oro
,Delivery,  $    $      ,American,Harlem,(300),4.6 stars out of 5,The Grange
,Delivery,  $    $      ,Latin / Spanish,Inwood (Manhattan),,,Chef Papi's Kitchens by Luxor NY
,Delivery,  $    $    $    ,Mediterranean,SoHo,(752),4.4 stars out of 5,Pera Soho
,Delivery,  $    $      ,Italian,Greenwich Village,(5270),4.6 stars out of 5,Lupa
,Delivery,  $    $      ,French,SoHo,(1643),4.3 stars out of 5,Laduree SOHO
,Delivery,  $    $      ,Italian,SoHo,(547),4.8 stars out of 5,Piccola Cucina Estiatorio
,Delivery,  $    $    $    ,American,SoHo,(404),4.7 stars out of 5,The Crosby Bar
,Delivery,  $    $    $    ,Contemporary Indian,East Village,(391),4.5 stars out of 5,BAAR BAAR
,Delivery,  $    $    $    ,Italian,East Village,(1348),4.8 stars out of 5,Lavagna - NYC
,Delivery,  $    $    $    ,Italian,Upper West Side,(1493),4.5 stars out of 5,Pappardella
,Delivery,  $    $    $    $  ,French,Upper East Side,(2375),4.5 stars out of 5,Orsay
,Delivery,  $    $    $    ,American,West Village,(1066),4.7 stars out of 5,The Clam
,Delivery,  $    $    $    ,Mediterranean,SoHo,(649),4.6 stars out of 5,Antique Garage Soho
,Delivery,  $    $    $    ,British,Upper East Side,(268),4.5 stars out of 5,Jones Wood Foundry
,Delivery,  $    $    $    ,Italian,Upper East Side,(753),4.8 stars out of 5,Sistina
,Delivery,  $    $    $    ,Indian,TriBeCa - Downtown,(3384),4.7 stars out of 5,Tamarind - Tribeca
,Delivery,  $    $    $    ,Turkish,Upper East Side,(775),4.4 stars out of 5,A La Turka Restaurant
,Delivery,  $    $    $    ,Italian,SoHo,(282),4.6 stars out of 5,Sola Pasta Bar
,Delivery,  $    $      ,Italian,Upper East Side,(613),4.6 stars out of 5,Bottega
,Delivery,  $    $    $    $  ,Contemporary American,Lower East Side,(1139),4.4 stars out of 5,Hotel Chantelle
,Delivery,  $    $    $    ,French,Upper East Side,(747),4.5 stars out of 5,Brasserie Cognac East
,Delivery,  $    $      ,American,Upper East Side,(56),4.4 stars out of 5,The Meatball Shop - Upper East Side
,Delivery,  $    $    $    ,Mediterranean,Upper West Side,(285),4.3 stars out of 5,8th Hill Inspired Mediterranean Cuisine
,Delivery,  $    $    $    $  ,Sushi,Upper West Side,(29),4.9 stars out of 5,Sushi Nonaka
