booked_today_list,delivery,expensive,genre,location,num_reviews_list,rating_list,rest_name
,,  $    $    $    ,American,Midtown West,(3365),4.2 stars out of 5,Redeye Grill
,,  $    $    $    $  ,Chinese,Meatpacking District,(13702),4.6 stars out of 5,Buddakan NY
,,  $    $    $    $  ,Japanese Speciality,Midtown East,(43),4.5 stars out of 5,Unagi-ya Hachibei
, Takeout,  $    $      ,Mediterranean,Chelsea,,,Selina Chelsea New York City
, Delivery partners,  $    $      ,Indian,Midtown West,(42),4.5 stars out of 5,bombay grill house
, Takeout,  $    $      ,Sushi,Midtown East,,,MakiMaki Sushi
, Takeout,  $    $      ,American,Midtown East,(609),4.6 stars out of 5,P.J. Clarke's - Third Avenue
,,  $    $      ,Gastro Pub,Theater District / Times Square,(402),4.4 stars out of 5,The Distillery
, Takeout,  $    $    $    ,Steakhouse,Midtown West,(3295),4.6 stars out of 5,Quality Italian - New York
, Takeout,  $    $      ,Seafood,Midtown East,,,Sweetcatch Poke - Midtown East
, Takeout,  $    $    $    ,Italian,Midtown West,(7294),4.5 stars out of 5,Trattoria Dell'Arte
, Takeout,  $    $    $    $  ,Steakhouse,Greenwich Village,(3001),4.6 stars out of 5,Strip House
,,  $    $      ,American,Meatpacking District,(16),4 stars out of 5,The Lobby Bar at Dream Downtown
,,  $    $      ,Turkish,Turtle Bay,(178),4.5 stars out of 5,Pierre Loti Midtown
,,  $    $      ,Cocktail Bar,Midtown West,(6),4.7 stars out of 5,The Rickey Cocktail Lounge at Dream Midtown
,,  $    $    $    ,American,Midtown West,(1005),4.4 stars out of 5,The Wayfarer
, Delivery partners,  $    $      ,Greek,Midtown East,(59),4.7 stars out of 5,Souvlaki GR Kouzina
,,  $    $    $    $  ,Vegetarian,Greenwich Village,(2023),4.6 stars out of 5,Nix
,2,  $    $      ,Japanese,Hell's Kitchen,(155),4.6 stars out of 5,Ageha
,,  $    $      ,French,Midtown East,(530),4.4 stars out of 5,Deux Amis
,,  $    $    $    $  ,Steakhouse,Midtown West,(8118),4.6 stars out of 5,Quality Meats
,,  $    $    $    $  ,Nordic,Midtown East,(7),4.5 stars out of 5,Aquavit - Bar
, Takeout,  $    $    $    ,Italian,Midtown East,(427),4.7 stars out of 5,Grifone
,2,  $    $      ,Greek,Midtown West,(943),4.5 stars out of 5,Souvlaki GR Midtown
,2,  $    $    $    ,Italian,Little Italy,(26),4.5 stars out of 5,Zia Maria Little Italy
, Takeout,  $    $    $    ,French,TriBeCa - Downtown,(94),4.5 stars out of 5,Yves
,2,  $    $      ,Vietnamese,NoLita,(129),4.4 stars out of 5,BoCaphe
,2,  $    $    $    ,Latin American,Upper East Side,(84),4.7 stars out of 5,Dulce Vida Latin Bistro
, Takeout,  $    $      ,Seafood,Battery Park,(102),4.3 stars out of 5,Miramar
,,  $    $      ,Indian,Lincoln Square,(1555),3.6 stars out of 5,Sapphire
,2,  $    $      ,French,Upper West Side,(280),4.1 stars out of 5,Le Monde
, Takeout,  $    $      ,Afghan,Upper East Side,(91),4.6 stars out of 5,Afghan Kebab House
,2,  $    $    $    ,Italian,Financial District,(462),4.6 stars out of 5,Da Claudio Ristorante
,,  $    $    $    ,Steak,TriBeCa - Downtown,(581),4.5 stars out of 5,CUT By Wolfgang Puck at FS Downtown New York
,2,  $    $      ,Italian,Upper West Side,(107),4.7 stars out of 5,Ortomare Ristorante Pizzeria
, Takeout,  $    $      ,Italian,Little Italy,(192),4.7 stars out of 5,La Bella Vita
,2,  $    $    $    ,Italian,Upper East Side,(34),4.5 stars out of 5,Vicolina
,2,  $    $    $    $  ,Italian,Upper East Side,(338),4.8 stars out of 5,Sandro's Restaurant
, Takeout,  $    $    $    ,Italian,Upper East Side,(47),4.3 stars out of 5,Mimmo Cucina Italiana
, Delivery partners,  $    $      ,American,Financial District,(102),4.6 stars out of 5,Westville Wall Street
, Delivery partners,  $    $      ,Italian,Upper West Side,(129),4.5 stars out of 5,Serafina 105
,2,  $    $      ,Chinese,Chinatown,(17),4.3 stars out of 5,Buddha Bodai Kosher Vegetarian Restaurant
, Takeout,  $    $      ,Japanese,Financial District,(618),4.2 stars out of 5,Haru Sushi - Wall Street
, Takeout,  $    $      ,Mexican,East Harlem,(2),5 stars out of 5,Bistro Casa Azul
,,  $    $      ,American,Financial District,(41),4.5 stars out of 5,The Porterhouse Brewing Company Bar + The Lovelace Cocktail & Gin Bar
,2,  $    $    $    ,Italian,Financial District,(693),4.7 stars out of 5,Felice 15 Gold Street
